Date,Av­er­age views per view­er,Unique view­ers,Im­pres­sions click-through rate (%),Im­pres­sions,Com­ments ad­ded,Shares,Likes (vs. dis­likes) (%),Dis­likes,Sub­scribers lost,Sub­scribers gained,Likes,Av­er­age per­cent­age viewed (%),Videos pub­lished,Videos ad­ded,Sub­scribers,Views,Watch time (hours),Av­er­age view dur­a­tion,Your es­tim­ated rev­en­ue (USD)
17-06-2019,1.3106,2534,4.84,53272,10,11,96.72,4,7,31,118,30.77,0,0,24,3321,129.6908,00:02:20,1.483
18-06-2019,1.3196,3654,6.41,61659,24,13,96.49,6,15,67,165,35.72,0,0,52,4822,209.2285,00:02:36,2.111
19-06-2019,1.3192,7196,7.97,95131,51,34,97.93,9,28,90,425,32,1,1,62,9493,407.3768,00:02:34,3.911
20-06-2019,1.3713,2187,5.64,39491,14,8,95.7,4,14,29,89,28.68,0,0,15,2999,129.9433,00:02:35,1.791
21-06-2019,1.4151,2250,5.88,41977,9,18,96.91,3,11,30,94,30.27,0,0,19,3184,141.0837,00:02:39,1.334
22-06-2019,1.4086,2565,5.79,48288,16,12,95.97,5,9,46,119,29.47,0,0,37,3613,149.2684,00:02:28,2.326
23-06-2019,1.4412,1770,5.52,37776,9,4,93.65,4,10,28,59,28.36,0,0,18,2551,99.1161,00:02:19,1.088
24-06-2019,1.3961,1371,6.19,24450,3,7,97.18,2,9,22,69,28.57,0,0,13,1914,72.3909,00:02:16,1.074
25-06-2019,1.4713,1239,6.28,22701,5,5,93.75,3,12,31,45,27.91,0,0,19,1823,72.2466,00:02:22,0.858
26-06-2019,1.4033,1148,6.6,19251,4,4,95.24,2,8,18,40,29.43,0,0,10,1611,64.9281,00:02:25,0.568
27-06-2019,1.301,794,6.25,12892,2,1,100,0,3,6,11,28.57,0,0,3,1033,37.6538,00:02:11,0.35
28-06-2019,1.3714,587,6.32,9752,2,13,100,0,5,12,22,27.38,0,0,7,805,30.3068,00:02:15,0.235
29-06-2019,1.4368,380,5.88,7200,1,8,88.89,3,5,12,24,25.87,0,0,7,546,21.8317,00:02:23,0.156
30-06-2019,1.3353,662,7.16,9848,2,5,100,0,4,13,30,29.28,0,0,9,884,34.6625,00:02:21,0.314
01-07-2019,1.3662,497,5.84,8409,1,5,100,0,5,10,19,31.19,0,0,5,679,29.6554,00:02:37,0.174
